_id,Word,Type
ObjectId("5ced7b6bc199633b78c34c2e"),агресија,Именка
ObjectId("5ced7b6bc199633b78c34c2f"),агресор,Именка
ObjectId("5ced7b6cc199633b78c34c30"),агри,Префикс
ObjectId("5ced7b6ec199633b78c34c31"),агрикултура,Именка
ObjectId("5ced7b70c199633b78c34c32"),агро,Префикс
ObjectId("5ced7b71c199633b78c34c33"),агробизнис,Именка
ObjectId("5ced7b72c199633b78c34c34"),агрокомбинат,Именка
ObjectId("5ced7b73c199633b78c34c35"),агроном,Именка
ObjectId("5ced7b73c199633b78c34c36"),агрономија,Именка
ObjectId("5ced7b75c199633b78c34c37"),агротехника,Именка
ObjectId("5ced7b76c199633b78c34c38"),агруми,Именка
ObjectId("5ced7b76c199633b78c34c39"),агува,Глагол
ObjectId("5ced7b78c199633b78c34c3a"),ад,Именка
ObjectId("5ced7b7ac199633b78c34c3b"),АД,Скратеница
ObjectId("5ced7b7ec199633b78c34c3c"),ада,Именка
ObjectId("5ced7b80c199633b78c34c3d"),ад акта,Сложенка
ObjectId("5ced7b82c199633b78c34c3e"),адам,Именка
ObjectId("5ced7b83c199633b78c34c3f"),адамов,Придавка
ObjectId("5ced7b85c199633b78c34c40"),адаптабилен,Придавка
ObjectId("5ced7b87c199633b78c34c41"),адаптација,Именка
ObjectId("5ced7b88c199633b78c34c42"),адаптер,Именка
ObjectId("5ced7b88c199633b78c34c43"),адаптерски,Придавка
ObjectId("5ced7b89c199633b78c34c44"),адаптира,Глагол
ObjectId("5ced7b89c199633b78c34c45"),адаптиран,Придавка
ObjectId("5ced7b8cc199633b78c34c46"),адаџо,Прилог
ObjectId("5ced7b8dc199633b78c34c47"),адвент,Именка
ObjectId("5ced7b8ec199633b78c34c48"),адвентизам,Именка
ObjectId("5ced7b8fc199633b78c34c49"),адвентист,Именка
ObjectId("5ced7b91c199633b78c34c4a"),адверб,Именка
ObjectId("5ced7b93c199633b78c34c4b"),адвербијален,Придавка
